Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development
Cephalorhynchus Commersoni,Cephalorhynchus_commersonii,Cephalorhynchus commersonii,Laurasiatheria,Cetacea,Delphinidae,USNM,550156,Phenome10K,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial
Ceratogaulus Hatcheri,Ceratogaulus_hatcheri,Ceratogaulus hatcheri,Euarchontaglires,Rodentia,Mylagaulidae,FMNH,P14914,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,
Cervus Elaphus,Cervus_elaphus,Cervus elaphus,Laurasiatheria,Artiodactyla,Cervidae,NHMUK ZD,2005.16,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Diurnal,Precocial
Cheirogaleus Medius,Cheirogaleus_medius,Cheirogaleus medius,Euarchontaglires,Primates,Cheirogaleidae,MNHN-ZO-AC,1986-430,,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Altricial
Chironax Melanocephalus,Chironax_melanocephalus,Chironax melanocephalus,Laurasiatheria,Chiroptera,Pteropodidae,AMNH,M-266200,Morphosource,Extant,Recent,Volant,Herbivore,Closed,Social,Nocturnal,Altricial
Choloepus Hoffmanni,Choloepus_hoffmanni,Choloepus hoffmanni,Xenarthra,Pilosa,Megalonychidae,AMNH,M-30765,Digimorph,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Precocial
Chrotopterus Auritus,Chrotopterus_auritus,Chrotopterus auritus,Laurasiatheria,Chiroptera,Phyllostomidae,AMNH,M-278292,Morphosource,Extant,Recent,Volant,Carnivore,Closed,Social,Nocturnal,Altricial
Chrysophylax Trevelyan,Chrysospalax_trevelyani,Chrysospalax trevelyani,Afrotheria,Afrosoricida,Chrysochloridae,LDUCZ,z.660,Phenome10K,Extant,Recent,Fossorial,Invertivore,Closed,Solitary,Nocturnal,Altricial
Cistugo Lesueuri,Cistugo_lesueuri,Cistugo lesueuri,Laurasiatheria,Chiroptera,Cistugidae,AMNH,M-244302,Morphosource,Extant,Recent,Volant,Invertivore,Open,Social,Nocturnal,Altricial
Coelodonta Antiquitatus,Coelodonta_antiquitatus,Coelodonta antiquitatus,Laurasiatheria,Perissodactyla,Rhinocerotidae,FMNH,P14783,Morphosource,Extinct,Pliocene,Terrestrial,Herbivore,,,,
Colobus Guereza,Colobus_guereza,Colobus guereza,Euarchontaglires,Primates,Cercopithecidae,NHMUK ZD,1928.11.11.2,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial
Coronodon Havensteini,Coronodon_havensteini,Coronodon havensteini,Laurasiatheria,Cetacea,Aetiocetidae,CCNHM,108,Phenome10K,Extinct,Oligocene,Aquatic,Carnivore,Aquatic,,,
Coryphodon Anthracoides,Coryphodon_hamatus,Coryphodon anthracoides,Laurasiatheria,Amblypoda,Coryphodontidae,YPM,VPPU.011330,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,
Cotylocara Macei,Cotylocara_macei,Cotylocara macei,Laurasiatheria,Cetacea,Xenorophidae,CCNHM,101,Phenome10K,Extinct,Oligocene,Aquatic,Carnivore,,,,
Craseonycteris Thonglongyai,Craseonycteris_thonglongyai,Craseonycteris thonglongyai,Laurasiatheria,Chiroptera,Craseonycteridae,USNM,M-528306,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial
Cricetomys Gambianus,Cricetomys_gambianus,Cricetomys gambianus,Euarchontaglires,Rodentia,Nesomyidae,NHMUK ZD,1934.4.1.158,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Mixed terrestrial,Social,Nocturnal,Altricial
Cricetus Cricetus,Cricetus_cricetus,Cricetus cricetus,Euarchontaglires,Rodentia,Cricetidae,NHMUK ZD,1919.7.7.2605,Phenome10K,Extant,Recent,Fossorial,Herbivore,Open,Solitary,Crepuscular,Altricial
Cryptomys Mechowi,Fukomys_mechowi,Cryptomys mechowi,Euarchontaglires,Rodentia,Bathyergidae,NHMUK ZD,1935.1.6.176,Phenome10K,Extant,Recent,Fossorial,Herbivore,Open,Social,All,Altricial
Ctenomys Knighti,Ctenomys_knighti,Ctenomys knighti,Euarchontaglires,Rodentia,Ctenomyidae,NHMUK ZD,1925.3.1.65,Phenome10K,Extant,Recent,Fossorial,Herbivore,Open,Solitary,All,Altricial
Cuniculus Paca,Cuniculus_paca,Cuniculus paca,Euarchontaglires,Rodentia,Cuniculidae,NHMUK ZD,1904.12.4.13,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Nocturnal,Precocial
Cyclopes Didactylus,Cyclopes_didactylus,Cyclopes didactylus,Xenarthra,Pilosa,Cyclopedidae,NHMUK ZD,1903.12.6.10,Phenome10K,Extant,Recent,Arboreal,Social insectivore,Closed,Solitary,Nocturnal,Precocial
Cynocephalus Volans,Cynocephalus_volans,Cynocephalus volans,Euarchontaglires,Dermoptera,Cynocephalidae,LDUCZ,z.890,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Crepuscular,Altricial
Cynomys Ludovicianus,Cynomys_ludovicianus,Cynomys ludovicianus,Euarchontaglires,Rodentia,Sciuridae,UM,96071,Digimorph,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Altricial
Dacrytherium Sp,Dacrytherium_sp,Dacrytherium sp,Laurasiatheria,Artiodactyla,Anoplotheriidae,MNHN.F,QU17146,Phenome10K,Extinct,Eocene,Terrestrial,Herbivore,,,,
Daphaenus Vetus,Daphoenus_vetus,Daphaenus vetus,Laurasiatheria,Carnivora,Amphicyonidae,YPM,VPPU.012648,Phenome10K,Extinct,Eocene,Terrestrial,Carnivore,,,,
Dasyprocta Mexicana,Dasyprocta_mexicana,Dasyprocta mexicana,Euarchontaglires,Rodentia,Dasyproctidae,UMN,14040,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Solitary,Diurnal,Precocial
Dasypus Novemictus,Dasypus_novemcinctus,Dasypus novemcinctus,Xenarthra,Cingulata,Dasypodidae,LDUCZ,z.134,Phenome10K,Extant,Recent,Semi-fossorial,Invertivore,Mixed terrestrial,Solitary,Nocturnal,Precocial
Daubentonia Madagascariensis,Daubentonia_madagascariensis,Daubentonia madagascariensis,Euarchontaglires,Primates,Daubentoniidae,NHMUK ZD,1888.2.18.2/GERM 1359d,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Solitary,Nocturnal,Altricial
Delphinapterus Leucas,Delphinapterus_leucas,Delphinapterus leucas,Laurasiatheria,Cetacea,Monodontidae,USNM,305071,Phenome10K,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial
Delphinus Delphis,Delphinus_delphis,Delphinus delphis,Laurasiatheria,Cetacea,Delphinidae,AMNH,35401,Morphosource,Extant,Recent,Aquatic,Piscivore,Aquatic,Social,All,Precocial
Deomys Ferrugineus,Deomys_ferrugineus,Deomys ferrugineus,Euarchontaglires,Rodentia,Muridae,MNHN,1622,Phenome10K,Extant,Recent,Terrestrial,Social insectivore,Closed,Solitary,Crepuscular,
Desmocyon Matthewii,Desmocyon_matthewsi,Desmocyon matthewii,Laurasiatheria,Carnivora,Canidae,AMNH,F:AM 49177,Morphosource,Extinct,Miocene,Terrestrial,Carnivore,,,,
Diaemus Youngi,Diaemus_youngi,Diaemus youngi,Laurasiatheria,Chiroptera,Phyllostomidae,AMNH,M-246230,Morphosource,Extant,Recent,Volant,Carnivore,Closed,Social,Nocturnal,Altricial
Diceros Bicornis,Diceros_bicornis,Diceros bicornis,Laurasiatheria,Perissodactyla,Rhinocerotidae,NHMUK ZD,1933.5.5.1,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Mixed terrestrial,Solitary,Diurnal,Precocial
Dinictis Squalidens,Dinictis_squalidens,Dinictis squalidens,Laurasiatheria,Carnivora,Nimravidae,YPM,VPPU.013587,Phenome10K,Extinct,Oligocene,Terrestrial,Carnivore,,,,
Diplacodon Progressum,Diplacodon_progressum,Diplacodon progressum,Laurasiatheria,Perissodactyla,Brontotheriidae,FMNH,P14633,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,
Dipodomys Ordii,Dipodomys_ordii,Dipodomys ordii,Euarchontaglires,Rodentia,Heteromyidae,UMN,8327,Phenome10K,Extant,Recent,Semi-fossorial,Herbivore,Open,Solitary,Nocturnal,Altricial
Dobsonia Moluccensis,Dobsonia_moluccensis,Dobsonia moluccensis,Laurasiatheria,Chiroptera,Pteropodidae,AMNH,M-159572,Morphosource,Extant,Recent,Volant,Herbivore,Closed,Social,Nocturnal,Altricial
Dolichotis Patagonum,Dolichotis_patagonum,Dolichotis patagonum,Euarchontaglires,Rodentia,Caviidae,NHMUK ZD,2003.339,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Desert,Social,Diurnal,Precocial
Dorudon Atrox,Dorudon_atrox,Dorudon atrox,Laurasiatheria,Cetacea,Basilosauridae,UMMP PVM,118139,Phenome10K,Extinct,Eocene,Aquatic,Carnivore,,,,
Duchesneodus Uintensis,Duchesneodus_uintensis,Duchesneodus uintensis,Laurasiatheria,Perissodactyla,Brontotheriidae,FMNH,PM136,Morphosource,Extinct,Eocene,Terrestrial,Herbivore,,,,
Dugong Sp,Dugong_dugon,Dugong dugon,Afrotheria,Sirenia,Dugongidae,LDUCZ,NON434,Phenome10K,Extant,Recent,Aquatic,Herbivore,Aquatic,Social,Diurnal,Precocial
Dusisiren Jordani,Dusisiren_jordani,Dusisiren jordani,Afrotheria,Sirenia,Dugongidae,UCMP,3794,Morphosource and Phenome10K,Extinct,Miocene,Aquatic,Herbivore,,,,
Echinoprocta Rufescens,Coendou_rufescens,Coendou rufescens,Euarchontaglires,Rodentia,Erethizontidae,NHMUK ZD,1927.5.3.8,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Solitary,Nocturnal,Precocial
