Mesh Names,Tip_Label,Taxon,Superorder,Order,Family,Collection,Specimen_ID,Scan Location,Status,Geologic Age (First Appearance),Locomotion,Diet,Habitat,Social,Activity,Development,Mesh Type
Antilocapra Americana,Antilocapra_americana,Antilocapra americana,Laurasiatheria,Artiodactyla,Antilocapridae,NHMUK ZD,1867.10.5.1/GERM 635d,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial,Open 
Aotus Trivirgatus,Aotus_trivirgatus,Aotus trivirgatus,Euarchontaglires,Primates,Aotidae,MNHN-ZO-AC,1976-544,,Extant,Recent,Arboreal,Omnivore,Closed,Social,Nocturnal,Altricial,Closed 
Apternodus Brevirostris,Apternodus_brevirostris,Apternodus brevirostris,Stem,Zalambdalestidae,Apternodontidae,AMNH,FM 22466,Morphosource,Extinct,Eocene,Terrestrial,Invertivore,,,,,Closed 
Archaeolemur Edwardsi,Archaeolemur_edwardsi,Archaeolemur edwardsi,Euarchontaglires,Primates,Archaeolemuridae,MNHN.F,MAD8902,Phenome10K,Extinct,Holocene,Terrestrial,Herbivore,,,,,Closed 
Arctictis Binturong,Arctictis_binturong,Arctictis binturong,Laurasiatheria,Carnivora,Viverridae,MNHN-ZO-AC,1936-1529,Phenome10K,Extant,Recent,Arboreal,Omnivore,Closed,Solitary,Nocturnal,Altricial,Closed 
Arctodus Simum,Arctodus_simum,Arctodus simum,Laurasiatheria,Carnivora,Ursidae,AMNH,FM 8222,Morphosource,Extinct,Pleistocene,Terrestrial,Carnivore,,,,,Closed 
Arsinoitherium Zitelli,Arsinoitherium_zitteli,Arsinoitherium zitelli,Afrotheria,Embrithopoda,Arsinoitheriidae,NHMUK PV M,8463,Phenome10K,Extinct,Oligocene,Terrestrial,Herbivore,,,,,Closed 
Aselliscus Tricuspidatus,Aselliscus_tricuspidatus,Aselliscus tricuspidatus,Laurasiatheria,Chiroptera,Hipposideridae,AMNH,M-151546,Morphosource,Extant,Recent,Volant,Invertivore,Closed,Social,Nocturnal,Altricial,Open 
Astrapotherium Magnum,Astrapotherium_magnum,Astrapotherium magnum,Laurasiatheria,Astrapotheria,Astrapotheriidae,FMNH,P14251,Morphosource,Extinct,Miocene,Terrestrial,Herbivore,,,,,Open 
Ateles Belzebuth,Ateles_belzebuth,Ateles belzebuth,Euarchontaglires,Primates,Atelidae,NHMUK ZD,1854.12.11.1,Phenome10K,Extant,Recent,Arboreal,Herbivore,Closed,Social,Diurnal,Altricial,Closed 
Atherudus Africanus,Atherurus_africanus,Atherurus africanus,Euarchontaglires,Rodentia,Hystricidae,NHMUK ZD,1948.1291,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Closed,Social,Nocturnal,Precocial,Open 
Balaenoptera Musculus,Balaenoptera_musculus,Balaenoptera musculus,Laurasiatheria,Cetacea,Balaenopteridae,NHMUK ZD,1892.3.1.1,Phenome10K,Extant,Recent,Aquatic,Bulk invertivore,Aquatic,Solitary,All,Precocial,Closed 
Barbourofelis Morrisi,Barbourofelis_morrisi,Barbourofelis morrisi,Laurasiatheria,Carnivora,Barbourofelidae,AMNH,F:AM 79999,Morphosource,Extinct,Miocene,Terrestrial,Carnivore,,,,,Closed 
Bauerus Dubiaquercus,Bauerus_dubiaquercus,Bauerus dubiaquercus,Laurasiatheria,Chiroptera,Vespertilionidae,AMNH,M-278725,Morphosource,Extant,Recent,Volant,Invertivore,Closed,unknown,Nocturnal,Altricial,Open 
Bos Domestic,Bos_taurus,Bos taurus,Laurasiatheria,Artiodactyla,Bovidae,NHMUK ZD,1981.984,Phenome10K,Extant,Recent,Terrestrial,Herbivore,Open,Social,Diurnal,Precocial,Closed 
Brachyphylla Cavernarum,Brachyphylla_cavernarum,Brachyphylla cavernarum,Laurasiatheria,Chiroptera,Phyllostomidae,NHMUK ZD,1918.4.1.11,Phenome10K,Extant,Recent,Volant,Omnivore,Open,Social,Nocturnal,Altricial,Closed 
